MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2007071920,1,1,1,0.000000,0,0,0,0,王皓,1,14,1,10,1,6,1,4,5,6,3,8
2007071920,1,1,2,8.064420,0,0,0,0,波尔,14,15,10,5,6,7,4,5,6,5,8,3
2007071920,1,1,3,8.947279,0,0,0,0,王皓,15,16,5,4,7,10,5,6,5,4,3,2
2007071920,1,1,4,8.947279,0,0,0,0,波尔,16,21,4,5,10,7,6,5,4,9,2,3
2007071920,1,1,5,9.826358,0,0,0,0,王皓,21,26,5,26,7,14,5,14,9,2,3,12
2007071920,1,2,1,9.826358,0,0,1,0,王皓,1,12,1,12,1,12,1,4,5,4,9,8
2007071920,1,2,2,19.750878,0,0,1,0,波尔,12,15,12,26,12,14,4,14,4,9,8,12
2007071920,1,2,3,19.750878,0,0,1,0,王皓,15,26,26,0,14,0,14,0,9,0,12,0
2007071920,1,3,1,19.750878,0,0,2,0,波尔,2,11,2,13,2,11,2,3,6,5,10,7
2007071920,1,3,2,33.123288,0,0,2,0,王皓,11,12,13,14,11,6,3,12,5,6,7,8
2007071920,1,3,3,33.123288,0,0,2,0,波尔,12,11,14,13,6,5,12,11,6,3,8,5
2007071920,1,3,4,34.035891,0,0,2,0,王皓,11,6,13,10,5,6,11,8,3,10,5,4
2007071920,1,3,5,33.913256,0,0,2,0,波尔,6,25,10,25,6,13,8,13,10,1,4,11
2007071920,1,4,1,34.665020,1,0,2,0,波尔,2,7,2,13,2,5,2,3,6,5,10,7
2007071920,1,4,2,42.831454,1,0,2,0,王皓,7,14,13,4,5,10,3,8,5,4,7,2
2007071920,1,4,3,43.384508,1,0,2,0,波尔,14,15,4,3,10,9,8,5,4,9,2,1
2007071920,1,4,4,44.522093,1,0,2,0,王皓,15,26,3,26,9,14,5,14,9,2,1,12
2007071920,1,5,1,44.522093,1,0,3,0,王皓,1,12,1,10,1,12,1,4,5,6,7,4
2007071920,1,5,2,53.077633,1,0,3,0,波尔,12,15,10,3,12,9,4,5,6,5,4,1
2007071920,1,5,3,53.958522,1,0,3,0,王皓,15,16,3,16,9,8,5,10,5,6,1,4
2007071920,1,5,4,54.510991,1,0,3,0,波尔,16,15,16,3,8,9,10,7,6,5,4,1
2007071920,1,5,5,55.106837,1,0,3,0,王皓,15,10,3,4,9,6,7,6,5,6,1,2
2007071920,1,5,6,55.463429,1,0,3,0,波尔,10,21,4,3,6,9,6,5,6,1,2,1
2007071920,1,5,7,56.239914,1,0,3,0,王皓,21,10,3,4,9,6,5,6,1,10,1,2
2007071920,1,5,8,56.239914,1,0,3,0,波尔,10,25,4,25,6,13,6,13,10,1,2,11
2007071920,1,6,1,56.239914,2,0,3,0,王皓,1,18,1,14,1,10,1,4,5,6,7,8
2007071920,1,6,2,70.755179,2,0,3,0,波尔,18,17,14,5,10,7,4,7,6,9,8,3
2007071920,1,6,3,70.755179,2,0,3,0,王皓,17,26,5,26,7,14,7,14,9,2,3,12
2007071920,1,7,1,72.818000,2,0,4,0,波尔,2,17,2,13,2,7,2,3,6,5,8,7
2007071920,1,7,2,86.387435,2,0,4,0,王皓,17,14,13,10,7,12,3,8,5,6,7,4
2007071920,1,7,3,86.387435,2,0,4,0,波尔,14,15,10,3,12,5,8,5,6,5,4,1
