MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2007040402,1,1,1,0.000000,0,0,0,0,王皓,2,11,2,13,2,9,2,3,6,5,8,7
2007040402,1,1,2,1.966519,0,0,0,0,柳承敏,11,12,13,10,9,10,3,8,5,2,7,4
2007040402,1,1,3,2.465696,0,0,0,0,王皓,12,9,10,26,10,14,8,14,2,9,4,12
2007040402,1,1,4,4.359907,0,0,0,0,柳承敏,9,26,26,0,14,0,14,0,9,0,12,0
2007040402,1,2,1,4.359907,0,0,1,0,王皓,2,11,2,11,2,9,2,3,6,5,8,7
2007040402,1,2,2,13.970637,0,0,1,0,柳承敏,11,22,11,4,9,8,3,8,5,6,7,4
2007040402,1,2,3,15.114721,0,0,1,0,王皓,22,21,4,15,8,7,8,9,6,5,4,3
2007040402,1,2,4,15.665372,0,0,1,0,柳承敏,21,22,15,4,7,8,9,8,5,2,3,4
2007040402,1,2,5,15.618177,0,0,1,0,王皓,22,9,4,26,8,14,8,14,2,9,4,12
2007040402,1,2,6,16.720794,0,0,1,0,柳承敏,9,26,26,0,14,0,14,0,9,0,12,0
2007040402,1,3,1,16.720794,0,0,2,0,柳承敏,1,14,1,10,1,6,1,4,5,6,7,4
2007040402,1,3,2,26.893517,0,0,2,0,王皓,14,9,10,26,6,14,4,14,6,9,4,12
2007040402,1,3,3,28.957381,0,0,2,0,柳承敏,9,26,26,0,14,0,14,0,9,0,12,0
2007040402,1,4,1,28.957381,0,0,3,0,柳承敏,1,12,1,14,1,6,1,4,5,6,7,8
2007040402,1,4,2,42.553116,0,0,3,0,王皓,12,5,14,11,6,5,4,11,6,5,8,7
2007040402,1,4,3,42.708801,0,0,3,0,柳承敏,5,22,11,4,5,8,11,8,5,4,7,4
2007040402,1,4,4,43.242018,0,0,3,0,王皓,22,9,4,3,8,5,8,5,4,9,4,3
2007040402,1,4,5,44.494732,0,0,3,0,柳承敏,9,26,3,26,5,14,5,14,9,2,3,12
2007040402,1,5,1,44.494732,0,0,4,0,王皓,2,11,2,9,2,5,2,3,6,9,8,3
2007040402,1,5,2,60.203717,0,0,4,0,柳承敏,11,26,9,26,5,14,3,14,9,2,3,12
2007040402,1,6,1,60.203717,0,0,5,0,王皓,2,19,2,11,2,7,2,3,6,5,8,3
2007040402,1,6,2,68.603660,0,0,5,0,柳承敏,19,16,11,4,7,8,3,8,5,4,3,4
