MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2007072314,1,1,1,0.000000,0,0,0,0,王皓,1,12,1,12,1,6,1,4,5,6,9,8
2007072314,1,1,2,4.102780,0,0,0,0,柳承敏,12,21,12,3,6,7,4,7,6,5,8,3
2007072314,1,1,3,5.204340,0,0,0,0,王皓,21,16,3,16,7,6,7,10,5,4,3,4
2007072314,1,1,4,5.204340,0,0,0,0,柳承敏,16,9,16,3,6,5,10,7,4,9,4,1
2007072314,1,1,5,5.637735,0,0,0,0,王皓,9,26,3,26,5,14,7,14,9,2,1,12
2007072314,1,2,1,5.637735,0,0,1,0,王皓,1,8,1,4,1,6,1,4,5,6,3,4
2007072314,1,2,2,14.080574,0,0,1,0,柳承敏,8,9,4,3,6,5,4,5,6,3,4,1
2007072314,1,2,3,14.585993,0,0,1,0,王皓,9,16,3,16,5,12,5,10,3,10,1,4
2007072314,1,2,4,14.585993,0,0,1,0,柳承敏,16,25,16,25,12,13,10,13,10,1,4,11
2007072314,1,3,1,14.585993,1,0,1,0,柳承敏,2,11,2,13,2,5,2,3,6,5,10,7
2007072314,1,3,2,25.944209,1,0,1,0,王皓,11,6,13,12,5,6,3,12,5,10,7,8
2007072314,1,3,3,26.414683,1,0,1,0,柳承敏,6,25,12,25,6,13,12,13,10,1,8,11
2007072314,1,4,1,28.089122,2,0,1,0,柳承敏,2,7,2,11,2,5,2,3,6,3,8,7
2007072314,1,4,2,34.853415,2,0,1,0,王皓,7,22,11,6,5,10,3,8,3,10,7,4
2007072314,1,4,3,35.283445,2,0,1,0,柳承敏,22,25,6,25,10,13,8,13,10,1,4,11
2007072314,1,5,1,36.083608,3,0,1,0,王皓,1,14,1,12,1,6,1,4,5,4,7,8
2007072314,1,5,2,56.531231,3,0,1,0,柳承敏,14,9,12,3,6,5,4,7,4,9,8,3
2007072314,1,5,3,57.589444,3,0,1,0,王皓,9,26,3,26,5,14,7,14,9,2,3,12
2007072314,1,6,1,57.589444,3,0,2,0,王皓,1,14,1,12,1,6,1,4,5,8,5,8
2007072314,1,6,2,66.554619,3,0,2,0,柳承敏,14,13,12,9,6,5,4,7,8,5,8,3
2007072314,1,6,3,67.577417,3,0,2,0,王皓,13,22,9,4,5,8,7,6,5,6,3,4
2007072314,1,6,4,68.487374,3,0,2,0,柳承敏,22,15,4,3,8,5,6,5,6,5,4,3
2007072314,1,6,5,69.140560,3,0,2,0,王皓,15,22,3,16,5,8,5,10,5,6,3,4
2007072314,1,6,6,69.140560,3,0,2,0,柳承敏,22,21,16,3,8,9,10,7,6,9,4,1
2007072314,1,6,7,69.680517,3,0,2,0,王皓,21,26,3,26,9,14,7,14,9,2,1,12
2007072314,1,7,1,70.627805,3,0,3,0,柳承敏,2,13,2,13,2,5,2,3,6,3,10,7
2007072314,1,7,2,84.819581,3,0,3,0,王皓,13,8,13,14,5,6,3,12,3,10,7,8
2007072314,1,7,3,85.396120,3,0,3,0,柳承敏,8,25,14,25,6,13,12,13,10,1,8,11
2007072314,1,8,1,86.386726,4,0,3,0,柳承敏,2,7,2,9,2,5,2,3,6,5,8,3
2007072314,1,8,2,94.676601,4,0,3,0,王皓,7,10,9,6,5,6,3,6,5,4,3,4
2007072314,1,8,3,94.840506,4,0,3,0,柳承敏,10,9,6,15,6,5,6,9,4,5,4,3
2007072314,1,8,4,95.414095,4,0,3,0,王皓,9,16,15,4,5,6,9,8,5,4,3,2
2007072314,1,8,5,95.989590,4,0,3,0,柳承敏,16,15,4,5,6,7,8,5,4,9,2,3
2007072314,1,8,6,96.612132,4,0,3,0,王皓,15,26,5,26,7,14,5,14,9,2,3,12
2007072314,1,9,1,96.688345,4,0,4,0,王皓,1,8,1,10,1,6,1,4,5,6,3,4
2007072314,1,9,2,108.617349,4,0,4,0,柳承敏,8,21,10,5,6,7,4,5,6,5,4,3
2007072314,1,9,3,109.307111,4,0,4,0,王皓,21,22,5,16,7,8,5,10,5,6,3,4
2007072314,1,9,4,110.050667,4,0,4,0,柳承敏,22,21,16,5,8,7,10,7,6,3,4,3
2007072314,1,9,5,110.050667,4,0,4,0,王皓,21,10,5,6,7,6,7,6,3,10,3,4
2007072314,1,9,6,110.773145,4,0,4,0,柳承敏,10,25,6,25,6,13,6,13,10,1,4,11
2007072314,1,10,1,110.886755,5,0,4,0,王皓,1,8,1,12,1,6,1,4,5,4,7,8
2007072314,1,10,2,119.042261,5,0,4,0,柳承敏,8,15,12,3,6,7,4,7,4,9,8,3
2007072314,1,10,3,120.084256,5,0,4,0,王皓,15,26,3,26,7,14,7,14,9,2,3,12
2007072314,1,11,1,120.084256,5,0,5,0,柳承敏,2,11,2,13,2,5,2,3,6,5,10,7
2007072314,1,11,2,134.009361,5,0,5,0,王皓,11,8,13,14,5,6,3,12,5,6,7,8
2007072314,1,11,3,134.454878,5,0,5,0,柳承敏,8,15,14,9,6,7,12,7,6,5,8,3
2007072314,1,11,4,135.255957,5,0,5,0,王皓,15,22,9,16,7,8,7,10,5,6,3,4
2007072314,1,11,5,135.255957,5,0,5,0,柳承敏,22,21,16,5,8,7,10,7,6,5,4,3
2007072314,1,11,6,135.788390,5,0,5,0,王皓,21,22,5,16,7,8,7,10,5,6,3,4
2007072314,1,11,7,135.816451,5,0,5,0,柳承敏,22,21,16,5,8,7,10,7,6,5,4,3
2007072314,1,11,8,136.683674,5,0,5,0,王皓,21,22,5,6,7,8,7,6,5,10,3,4
2007072314,1,11,9,137.305352,5,0,5,0,柳承敏,22,21,6,26,8,14,6,14,10,9,4,12
2007072314,1,11,10,137.305000,5,0,5,0,王皓,21,26,26,0,14,0,14,0,9,0,12,0
2007072314,1,12,1,137.305000,5,0,6,0,柳承敏,2,21,2,5,2,7,2,3,6,3,4,3
2007072314,1,12,2,155.620023,5,0,6,0,王皓,21,22,5,6,7,10,3,6,3,10,3,4
2007072314,1,12,3,155.620023,5,0,6,0,柳承敏,22,25,6,25,10,13,6,13,10,1,4,11
2007072314,1,13,1,155.620023,6,0,6,0,王皓,3,14,1,12,3,6,1,4,5,4,9,8
2007072314,1,13,2,171.601674,6,0,6,0,柳承敏,14,21,12,3,6,7,4,7,4,9,8,3
2007072314,1,13,3,172.544832,6,0,6,0,王皓,21,26,3,26,7,14,7,14,9,2,3,12
2007072314,1,14,1,172.544832,6,0,7,0,王皓,1,14,1,14,1,6,1,4,5,6,7,8
2007072314,1,14,2,184.303093,6,0,7,0,柳承敏,14,13,14,9,6,7,4,7,6,9,8,3
