MatchNo,GameNo,RallyNo,StrikeNo,StrikeVideoPosition,ScoreA1,ScoreA2,ScoreB1,ScoreB2,HitPlayer,BallPosition,NextBallPosition,StrikeTech,NextStrikeTech,StrikePosition,NextStrikePosition,GameAction,NextGameAction,StrikeEffect,NextStrikeEffect,SpinKind,NextSpinKind
2007102217,1,1,1,0.000000,0,0,0,0,王皓,2,11,2,13,2,5,2,3,6,5,10,7
2007102217,1,1,2,257.630200,0,0,0,0,柳承敏,11,12,13,14,5,8,3,12,5,6,7,8
2007102217,1,1,3,258.463705,0,0,0,0,王皓,12,5,14,13,8,5,12,11,6,5,8,7
2007102217,1,1,4,259.225612,0,0,0,0,柳承敏,5,12,13,10,5,6,11,8,5,8,7,8
2007102217,1,1,5,259.880202,0,0,0,0,王皓,12,19,10,5,6,7,8,5,8,3,8,3
2007102217,1,1,6,260.872721,0,0,0,0,柳承敏,19,22,5,16,7,8,5,10,3,4,3,4
2007102217,1,1,7,260.872721,0,0,0,0,王皓,22,15,16,3,8,9,10,7,4,9,4,1
2007102217,1,1,8,261.483909,0,0,0,0,柳承敏,15,26,3,26,9,14,7,14,9,2,1,12
2007102217,1,2,1,261.483909,0,0,1,0,王皓,2,5,2,13,2,5,2,3,6,5,8,7
2007102217,1,2,2,271.804120,0,0,1,0,柳承敏,5,20,13,4,5,8,3,8,5,10,7,4
2007102217,1,2,3,271.804120,0,0,1,0,王皓,20,25,4,25,8,13,8,13,10,1,4,11
2007102217,1,3,1,271.804120,1,0,1,0,柳承敏,1,12,1,14,1,6,1,4,5,6,9,8
2007102217,1,3,2,315.430163,1,0,1,0,王皓,12,5,14,13,6,5,4,11,6,5,8,7
2007102217,1,3,3,316.198680,1,0,1,0,柳承敏,5,12,13,10,5,8,11,8,5,6,7,4
2007102217,1,3,4,316.840930,1,0,1,0,王皓,12,21,10,15,8,7,8,9,6,5,4,3
2007102217,1,3,5,317.540680,1,0,1,0,柳承敏,21,22,15,6,7,8,9,8,5,6,3,4
2007102217,1,3,6,317.540680,1,0,1,0,王皓,22,21,6,15,8,7,8,9,6,7,4,3
2007102217,1,3,7,317.540680,1,0,1,0,柳承敏,21,22,15,6,7,10,9,8,7,0,3,4
2007102217,1,3,8,318.466635,1,0,1,0,王皓,22,21,6,5,10,9,8,5,0,9,4,3
2007102217,1,3,9,318.466635,1,0,1,0,柳承敏,21,26,5,26,9,14,5,14,9,2,3,12
2007102217,1,4,1,318.466635,1,0,2,0,柳承敏,1,12,1,10,1,8,1,4,5,4,5,4
2007102217,1,4,2,339.542152,1,0,2,0,王皓,12,21,10,5,8,9,4,5,4,9,4,3
2007102217,1,4,3,340.270315,1,0,2,0,柳承敏,21,26,5,26,9,14,5,14,9,2,3,12
2007102217,1,5,1,340.270315,1,0,3,0,王皓,2,11,2,13,2,5,2,3,6,5,10,7
2007102217,1,5,2,353.587415,1,0,3,0,柳承敏,11,20,13,4,5,8,3,8,5,4,7,4
2007102217,1,5,3,355.168918,1,0,3,0,王皓,20,21,4,15,8,7,8,9,4,5,4,3
2007102217,1,5,4,355.168918,1,0,3,0,柳承敏,21,22,15,4,7,8,9,8,5,6,3,4
2007102217,1,5,5,355.759510,1,0,3,0,王皓,22,15,4,3,8,9,8,5,6,5,4,1
2007102217,1,5,6,356.270841,1,0,3,0,柳承敏,15,22,3,4,9,8,5,6,5,6,1,2
2007102217,1,5,7,356.891386,1,0,3,0,王皓,22,21,4,3,8,9,6,5,6,3,2,1
2007102217,1,5,8,357.957023,1,0,3,0,柳承敏,21,16,3,4,9,10,5,6,3,10,1,2
2007102217,1,5,9,357.957023,1,0,3,0,王皓,16,25,4,25,10,13,6,13,10,1,2,11
2007102217,1,6,1,357.957023,2,0,3,0,王皓,2,11,2,9,10,5,2,3,6,5,6,3
2007102217,1,6,2,375.492635,2,0,3,0,柳承敏,11,16,9,16,5,8,3,10,5,8,3,4
2007102217,1,6,3,376.439531,2,0,3,0,王皓,16,21,16,3,8,9,10,7,8,3,4,1
2007102217,1,6,4,377.494780,2,0,3,0,柳承敏,21,16,3,4,9,10,7,6,3,10,1,4
2007102217,1,6,5,377.494780,2,0,3,0,王皓,16,25,4,25,10,13,6,13,10,1,4,11
2007102217,1,7,1,377.494780,3,0,3,0,柳承敏,1,18,1,14,1,8,1,4,5,6,9,8
2007102217,1,7,2,395.317283,3,0,3,0,王皓,18,11,14,13,8,5,4,11,6,5,8,7
2007102217,1,7,3,395.777118,3,0,3,0,柳承敏,11,12,13,22,5,8,11,12,5,10,7,8
2007102217,1,7,4,396.508952,3,0,3,0,王皓,12,25,22,25,8,13,12,13,10,1,8,11
2007102217,1,8,1,397.341408,4,0,3,0,柳承敏,1,12,1,14,1,6,1,4,5,6,9,8
2007102217,1,8,2,404.721021,4,0,3,0,王皓,12,17,14,11,6,7,4,11,6,5,8,7
2007102217,1,8,3,405.153501,4,0,3,0,柳承敏,17,22,11,6,7,8,11,8,5,6,7,4
2007102217,1,8,4,406.077152,4,0,3,0,王皓,22,21,6,15,8,7,8,9,6,3,4,3
2007102217,1,8,5,406.077152,4,0,3,0,柳承敏,21,22,15,6,7,8,9,8,3,10,3,4
2007102217,1,8,6,406.928571,4,0,3,0,王皓,22,25,6,25,8,13,8,13,10,1,4,11
2007102217,1,9,1,406.928571,5,0,3,0,王皓,2,11,2,9,2,5,2,3,6,3,8,3
2007102217,1,9,2,423.446156,5,0,3,0,柳承敏,11,16,9,6,5,10,3,6,3,10,3,4
2007102217,1,9,3,424.353150,5,0,3,0,王皓,16,25,6,25,10,13,6,13,10,1,4,11
2007102217,1,10,1,426.249422,6,0,3,0,王皓,2,11,2,13,2,5,2,3,4,7,8,7
2007102217,1,10,2,436.669896,6,0,3,0,柳承敏,11,20,13,4,5,8,3,8,7,4,7,4
2007102217,1,10,3,437.909401,6,0,3,0,王皓,20,21,4,15,8,7,8,9,4,9,4,3
2007102217,1,10,4,437.909401,6,0,3,0,柳承敏,21,26,15,26,7,14,9,14,9,2,3,12
2007102217,1,11,1,437.909401,6,0,4,0,柳承敏,1,12,1,14,1,6,1,4,5,6,9,8
2007102217,1,11,2,451.611075,6,0,4,0,王皓,12,17,14,13,6,7,4,11,6,7,8,7
2007102217,1,11,3,452.221447,6,0,4,0,柳承敏,17,14,13,6,7,6,11,8,7,10,7,4
2007102217,1,11,4,453.224050,6,0,4,0,王皓,14,25,6,25,6,13,8,13,10,1,4,11
2007102217,1,12,1,453.224050,7,0,4,0,柳承敏,1,12,1,14,1,6,1,4,5,6,9,8
2007102217,1,12,2,468.553426,7,0,4,0,王皓,12,17,14,13,6,7,4,11,6,7,8,7
2007102217,1,12,3,469.104127,7,0,4,0,柳承敏,17,8,13,4,7,6,11,8,7,4,7,2
2007102217,1,12,4,470.063218,7,0,4,0,王皓,8,9,4,3,6,5,8,5,4,9,2,1
2007102217,1,12,5,470.063218,7,0,4,0,柳承敏,9,26,3,26,5,14,5,14,9,2,1,12
2007102217,1,13,1,470.063218,7,0,5,0,王皓,2,11,2,9,2,5,2,3,6,5,8,3
2007102217,1,13,2,493.954980,7,0,5,0,柳承敏,11,14,9,4,5,10,3,6,5,4,3,2
2007102217,1,13,3,495.199971,7,0,5,0,王皓,14,21,4,15,10,7,6,9,4,5,2,3
2007102217,1,13,4,495.689329,7,0,5,0,柳承敏,21,22,15,6,7,8,9,8,5,4,3,4
2007102217,1,13,5,495.689329,7,0,5,0,王皓,22,21,6,5,8,9,8,5,4,9,4,3
2007102217,1,13,6,496.902896,7,0,5,0,柳承敏,21,26,5,26,9,14,5,14,9,2,3,12
2007102217,1,14,1,496.902896,7,0,6,0,王皓,2,11,2,13,2,5,2,3,6,5,10,7
2007102217,1,14,2,511.211744,7,0,6,0,柳承敏,11,12,13,14,5,6,3,12,5,6,7,8
2007102217,1,14,3,511.830224,7,0,6,0,王皓,12,17,14,13,6,7,12,11,6,3,8,7
2007102217,1,14,4,512.272522,7,0,6,0,柳承敏,17,6,13,10,7,6,11,8,3,10,7,4
2007102217,1,14,5,513.067517,7,0,6,0,王皓,6,25,10,25,6,13,8,13,10,1,4,11
2007102217,1,15,1,513.067517,8,0,6,0,柳承敏,1,12,1,10,1,6,1,4,5,4,3,4
2007102217,1,15,2,533.842642,8,0,6,0,王皓,12,9,10,3,6,5,4,5,4,9,4,1
2007102217,1,15,3,534.976757,8,0,6,0,柳承敏,9,26,3,26,5,14,5,14,9,2,1,12
2007102217,1,16,1,534.976757,8,0,7,0,柳承敏,1,6,1,14,1,6,1,4,5,4,9,8
2007102217,1,16,2,550.103907,8,0,7,0,王皓,6,17,14,11,6,7,4,11,4,9,8,7
2007102217,1,16,3,550.698803,8,0,7,0,柳承敏,17,26,11,26,7,14,11,14,9,2,7,12
2007102217,1,17,1,550.698803,8,0,8,0,王皓,2,11,2,9,2,5,2,3,6,5,6,3
2007102217,1,17,2,566.695880,8,0,8,0,柳承敏,11,22,9,6,5,8,3,6,5,6,3,4
2007102217,1,17,3,567.421093,8,0,8,0,王皓,22,21,6,15,8,7,6,9,6,5,4,3
2007102217,1,17,4,568.017404,8,0,8,0,柳承敏,21,22,15,6,7,8,9,8,5,4,3,4
2007102217,1,17,5,568.017404,8,0,8,0,王皓,22,21,6,5,8,9,8,5,4,9,4,3
2007102217,1,17,6,569.011603,8,0,8,0,柳承敏,21,26,5,26,9,14,5,14,9,2,3,12
2007102217,1,18,1,569.011603,8,0,9,0,王皓,2,11,2,9,2,5,2,3,6,5,8,3
2007102217,1,18,2,582.272773,8,0,9,0,柳承敏,11,14,9,4,5,6,3,6,5,8,3,4
2007102217,1,18,3,582.964973,8,0,9,0,王皓,14,21,4,3,6,9,6,5,8,3,4,1
2007102217,1,18,4,584.820642,8,0,9,0,柳承敏,21,10,3,4,9,6,5,6,3,10,1,4
2007102217,1,18,5,584.820642,8,0,9,0,王皓,10,25,4,25,6,13,6,13,10,1,4,11
2007102217,1,19,1,584.820642,9,0,9,0,柳承敏,1,6,1,14,1,6,1,4,5,6,9,8
2007102217,1,19,2,614.975995,9,0,9,0,王皓,6,17,14,13,6,7,4,11,6,5,8,7
2007102217,1,19,3,614.975995,9,0,9,0,柳承敏,17,6,13,10,7,12,11,8,5,10,7,4
2007102217,1,19,4,615.665671,9,0,9,0,王皓,6,25,10,25,12,13,8,13,10,1,4,11
2007102217,1,20,1,616.929152,10,0,9,0,柳承敏,1,14,1,4,1,6,1,4,5,2,3,2
